,n_way,k_shot,n_query,n_iter,classes_to_sample_from,score
0,2,2,2,51,[37 24],tensor(0.9853)
1,2,3,2,51,[13 41],tensor(0.8480)
2,2,4,2,51,[ 0 37],tensor(0.8873)
3,2,5,2,51,[ 5 18],tensor(0.8873)
4,2,6,2,51,[15 13],tensor(0.9314)
5,3,2,2,51,[ 9 16 31],tensor(0.7059)
6,3,3,2,51,[17  9 13],tensor(0.4444)
7,3,4,2,51,[ 2 38  4],tensor(0.7810)
8,3,5,2,51,[18 38 12],tensor(0.8235)
9,3,6,2,51,[20  4 34],tensor(0.9412)
10,4,2,2,51,[ 9 13 10 36],tensor(0.5882)
11,4,3,2,51,[ 9  2 36  1],tensor(0.6887)
12,4,4,2,51,[40  2  6 14],tensor(0.8824)
13,4,5,2,51,[ 5  4 15 29],tensor(0.8235)
14,4,6,2,51,[19 25 16  8],tensor(0.7132)
15,5,2,2,51,[38  4  8 23 26],tensor(0.6039)
16,5,3,2,51,[17  0  7  5 36],tensor(0.5235)
17,5,4,2,51,[33 18 14 15  7],tensor(0.7569)
18,5,5,2,51,[42 12 26 17 23],tensor(0.7373)
19,5,6,2,51,[39 23 20 29  6],tensor(0.7118)
20,6,2,2,51,[13 18 33 42 40 11],tensor(0.6193)
21,6,3,2,51,[ 6  9  5 14 38 41],tensor(0.6438)
22,6,4,2,51,[10 23  6 33 20 42],tensor(0.7042)
23,6,5,2,51,[11 37 22 15 32 38],tensor(0.7908)
24,6,6,2,51,[19 21 22 36 32 37],tensor(0.7173)
