,n_way,k_shot,n_query,n_iter,classes_to_sample_from,score
0,2,2,2,51,[16 17],0.9666667
1,2,2,2,51,[17 14],1.0
2,2,3,2,51,[1 5],0.8916667
3,2,4,2,51,[5 1],0.85833335
4,2,5,2,51,[16  3],1.0
5,2,6,2,51,[14  3],1.0
6,3,2,2,51,[14  3  0],0.8833333
7,3,3,2,51,[14  5 16],0.8888889
8,3,4,2,51,[14  1  9],0.8611111
9,3,5,2,51,[14  4  0],0.8666667
10,3,6,2,51,[ 4 14 16],0.9944445
11,4,2,2,51,[ 1  5  4 17],0.7708334
12,4,3,2,51,[ 4 17 16  5],0.7916667
13,4,4,2,51,[ 0  4  1 16],0.72083336
14,4,5,2,51,[ 9 14  3 17],0.8541667
15,4,6,2,51,[ 5 16  1  9],0.85
16,5,2,2,51,[4 1 3 9 0],0.7066667
17,5,3,2,51,[17  9  4  0  1],0.69
18,5,4,2,51,[ 1 17  0  3 16],0.7266667
19,5,5,2,51,[ 3  5  9 14 17],0.8
20,5,6,2,51,[ 0  9  3 14  5],0.82
21,6,2,2,51,[ 1 17  9  5 14  4],0.7277778
22,6,3,2,51,[16 17  5  3  0  1],0.70555556
23,6,4,2,51,[ 9 14  3  5  0  4],0.79444444
24,6,5,2,51,[17  4  3  1 14 16],0.8777778
25,6,6,2,51,[14 16  4  1  3  9],0.8638889
26,7,2,2,51,[ 0  9  4  5 14 16  3],0.7047619
27,7,3,2,51,[ 4  9  3  1 17  0  5],0.66904765
28,7,4,2,51,[ 4 16  1  9 14  5 17],0.79285717
29,7,5,2,51,[ 5 16 14  3 17  4  9],0.83809525
30,7,6,2,51,[ 9  4 17  1  5 14  0],0.7476191
31,8,2,2,51,[ 9  0  5 16  4 14 17  3],0.6145834
32,8,3,2,51,[14  0 17 16  9  5  3  4],0.675
33,8,4,2,51,[ 5  4 17 14 16  1  3  0],0.6916667
34,8,5,2,51,[ 3  4  1  9 14  0 16  5],0.7604167
35,8,6,2,51,[ 5 16 17 14  1  4  9  3],0.78125006
