,n_way,k_shot,n_query,n_iter,classes_to_sample_from,score
0,2,2,5,51,[ 1 16],0.7966667
1,2,3,5,51,[ 3 16],1.0
2,2,4,5,51,[9 4],0.8833333
3,2,5,5,51,[14  0],0.99
4,2,6,5,51,[9 4],0.8833333
5,3,2,5,51,[16  1 17],0.87111115
6,3,3,5,51,[ 9 17  4],0.7022222
7,3,4,5,51,[ 5  3 16],0.90000004
8,3,5,5,51,[14  9  5],0.9266667
9,3,6,5,51,[17 14  5],0.9111111
10,4,2,5,51,[17  4  0 14],0.785
11,4,3,5,51,[17 14  3  1],0.91
12,4,4,5,51,[ 5  3 16  0],0.7216667
13,4,5,5,51,[ 4  0  1 17],0.78833336
14,4,6,5,51,[ 0 17 14  1],0.87
15,5,2,5,51,[ 5  3  4 14  0],0.692
16,5,3,5,51,[ 3  9 16  1  4],0.84666663
17,5,4,5,51,[ 4 17  3 14 16],0.91466665
18,5,5,5,51,[ 4  5 17  3  9],0.73333335
19,5,6,5,51,[ 1 17  3 14  9],0.8146666
20,6,2,5,51,[ 0  9  1  3 14  4],0.75222224
21,6,3,5,51,[16  0 17  3  1 14],0.7822223
22,6,4,5,51,[ 9 14  4  1  0 17],0.75111115
23,6,5,5,51,[ 5 14 16  9  3  0],0.80333334
24,6,6,5,51,[ 1  3  4 14 17 16],0.86222225
25,7,2,5,51,[16  5 14  9  3  4  1],0.78190476
26,7,3,5,51,[ 1  9  4 17 16  0  5],0.60761905
27,7,4,5,51,[ 1 16  0  9 17 14  4],0.71619046
28,7,5,5,51,[ 5 14 16  4  0 17  1],0.7438095
29,7,6,5,51,[ 4  0  1 17 14 16  9],0.7247619
30,8,2,5,51,[ 3 17  4  5 16  9  1  0],0.60083336
31,8,3,5,51,[17 14  1  9  3 16  0  4],0.69916666
32,8,4,5,51,[14 16  9  0  4 17  5  3],0.69666666
33,8,5,5,51,[16  1  4  5  0  9 17  3],0.6741667
34,8,6,5,51,[17  4  9  3  5 16 14  1],0.7716667
