,n_way,k_shot,n_query,n_iter,classes_to_sample_from,score
0,2,2,5,51,[ 1 16],0.62333333
1,2,3,5,51,[ 3 16],0.71000004
2,2,4,5,51,[9 4],0.5966667
3,2,5,5,51,[14  0],0.99
4,2,6,5,51,[9 4],0.59333336
5,3,2,5,51,[16  1 17],0.57111114
6,3,3,5,51,[ 9 17  4],0.4577778
7,3,4,5,51,[ 5  3 16],0.6111111
8,3,5,5,51,[14  9  5],0.7777778
9,3,6,5,51,[17 14  5],0.83555555
10,4,2,5,51,[17  4  0 14],0.59000003
11,4,3,5,51,[17 14  3  1],0.70500004
12,4,4,5,51,[ 5  3 16  0],0.5
13,4,5,5,51,[ 4  0  1 17],0.515
14,4,6,5,51,[ 0 17 14  1],0.6666667
15,5,2,5,51,[ 5  3  4 14  0],0.5146667
16,5,3,5,51,[ 3  9 16  1  4],0.44
17,5,4,5,51,[ 4 17  3 14 16],0.58666664
18,5,5,5,51,[ 4  5 17  3  9],0.42
19,5,6,5,51,[ 1 17  3 14  9],0.612
20,6,2,5,51,[ 0  9  1  3 14  4],0.44333336
21,6,3,5,51,[16  0 17  3  1 14],0.49111113
22,6,4,5,51,[ 9 14  4  1  0 17],0.49555558
23,6,5,5,51,[ 5 14 16  9  3  0],0.50555557
24,6,6,5,51,[ 1  3  4 14 17 16],0.5744445
25,7,2,5,51,[16  5 14  9  3  4  1],0.43142858
26,7,3,5,51,[ 1  9  4 17 16  0  5],0.34571427
27,7,4,5,51,[ 1 16  0  9 17 14  4],0.48095238
28,7,5,5,51,[ 5 14 16  4  0 17  1],0.51238096
29,7,6,5,51,[ 4  0  1 17 14 16  9],0.48285714
30,8,2,5,51,[ 3 17  4  5 16  9  1  0],0.2975
31,8,3,5,51,[17 14  1  9  3 16  0  4],0.39833334
32,8,4,5,51,[14 16  9  0  4 17  5  3],0.40666667
33,8,5,5,51,[16  1  4  5  0  9 17  3],0.32583335
34,8,6,5,51,[17  4  9  3  5 16 14  1],0.48333335
